company,sector,cpc_code,n_total,quality_avg,quality_norm_avg,n_years,name_clean
MITSUBA Corporation,Technology,7,268,0.29071274,-1.2351052,19,mitsuba
CANON ANELVA CORPORATION,Technology,7,268,0.31038538,-1.1095,12,canon anelva
"GRAHAM PACKAGING COMPANY, L.P.",Industrial,1,267,0.47532266,0.61,19,graham packaging l p
"MIPS Technologies, Inc.",Technology,6,267,0.7130363,0.981647,17,mips
Dexerials Corporation,Technology,7,267,0.34364676,-0.9601428,7,dexerials
Yamaha Marine Kabushiki Kaisha,Industrial,5,267,0.3407913,-0.034285717,7,yamaha marine kabushiki kaisha
"Plantronics, Inc.",Technology,7,267,0.6252176,0.5193684,19,plantronics
"BISSELL Homecare, Inc.",Life Sciences,0,267,0.5290966,0.56078947,19,bissell homecare
ASM International N.V.,Technology,7,266,0.5475755,0.07542105,19,asm n v
Steelcase Development Corporation,Life Sciences,0,266,0.72503763,1.7056923,13,steelcase development
FERAG AG,Industrial,1,266,0.25654602,-0.69731575,19,ferag
Micronas GmbH,Technology,6,265,0.29413724,-1.2137059,17,micronas
CEDARS-SINAI MEDICAL CENTER,Life Sciences,0,265,0.4240283,0.039842103,19,cedars sinai medical center
"Laitram, L.L.C.",Industrial,1,265,0.4271212,0.27506667,15,laitram l l c
BP Chemicals Limited,Life Sciences,2,265,0.16884375,-1.1043158,19,bp chemicals
Engelhard Corporation,Industrial,1,264,0.3456699,0.044299997,10,engelhard
Megica Corporation,Technology,7,264,0.73405325,1.0853077,13,megica
University of South Carolina,Life Sciences,2,264,0.3709577,-0.15068421,19,university of south carolina
"Soliton, Inc.",Industrial,1,264,0.42174205,0.26910526,19,soliton
"Shanghai Tianma Microelectronics Co., Ltd.",Technology,6,264,0.37821737,-0.7911666,6,shanghai tianma microelectronics
CARL FREUDENBERG KG,Industrial,5,264,0.25015303,-0.7711579,19,carl freudenberg kg
Cummins-Allison Corp.,Technology,6,264,0.8817753,1.8308947,19,cummins allison
TEXAS INSTRUMENTS DEUTSCHLAND GMBH,Technology,7,263,0.30995244,-1.1349473,19,texas instruments deutschland
Tenneco Automotive Operating Company LLC,Industrial,5,263,0.43216905,0.33023527,17,tenneco automotive operating
"Nisshinbo Industries, Inc.",Life Sciences,2,263,0.2050624,-0.84385717,14,nisshinbo industries
Vermeer Manufacturing Company,Industrial,4,263,0.5341887,1.0434737,19,vermeer manufacturing
"Siemens Corporate Research, Inc.",Technology,6,263,0.5484887,0.14216667,12,siemens corporate research
"Wuhan China Star Optoelectronics Technology Co., Ltd.",Technology,6,262,0.29427442,-1.204,3,wuhan china star optoelectronics
Tyco Fire & Security GmbH,Technology,6,262,0.6155698,0.383,6,tyco fire security
Goldman Sachs & Co. LLC,Technology,6,262,0.6180593,0.44525,16,goldman sachs
BASF PLANT SCIENCE COMPANY GMBH,Life Sciences,2,262,0.21885337,-0.92817646,17,basf plant science
"Monolithic Power Systems, Inc.",Technology,7,261,0.51150954,-0.07015789,19,monolithic power
RITE-HITE HOLDING CORPORATION,Industrial,1,261,0.5591756,1.141,19,rite hite holding
Draka Comteq B.V.,Technology,6,261,0.5167892,-0.081153855,13,draka comteq b v
Promega Corporation,Life Sciences,2,261,0.48408955,0.30889472,19,promega
KELSEY-HAYES-COMPANY,Industrial,1,261,0.406692,0.25610527,19,kelsey hayes
The Research Foundation for the State University of New York,Technology,6,261,0.55108154,0.08214287,7,research foundation for state university of new york
G.D SOCIETA' PER AZIONI,Industrial,1,261,0.27779052,-0.58605266,19,g d societa per azioni
"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",Life Sciences,2,261,0.6850257,1.0055,12,pacific biosciences of california
Nokia Siemens Networks GmbH & Co. KG,Technology,7,260,0.36288884,-0.84400004,11,nokia siemens networks kg
Korea University Research and Business Foundation,Technology,7,260,0.3229779,-1.0532222,9,korea university research business foundation
Gwangju Institute of Science and Technology,Technology,7,260,0.25079715,-1.4160001,13,gwangju institute of science
ETA SA Manufacture Horlogère Suisse,Technology,6,260,0.3280487,-1.0315334,15,eta manufacture horlog re suisse
Global OLED Technology LLC,Technology,6,259,0.53886336,0.016374998,8,global oled
JX Nippon Oil & Energy Corporation,Life Sciences,2,259,0.21826576,-1.098,8,jx nippon oil energy
"Tesla Motors, Inc.",Industrial,1,259,0.4855782,0.5407,10,tesla motors
"DAIICHI SANKYO COMPANY, LIMITED",Life Sciences,2,259,0.29400137,-0.6705,12,daiichi sankyo
Kabushiki Kaisha Kobe Seiko Sho,Life Sciences,2,259,0.24681254,-0.703,17,kabushiki kaisha kobe seiko sho
CAMBRIDGE SILICON RADIO LIMITED,Technology,7,258,0.40680394,-0.616,14,cambridge silicon radio
Kodak Polychrome Graphics Company Ltd.,Industrial,1,258,0.43243504,0.599,10,kodak polychrome graphics
SONY UNITED KINGDOM LIMITED,Technology,7,258,0.458703,-0.3564375,16,sony united kingdom
ABB Oy,Technology,7,257,0.2825249,-1.2822353,17,abb oy
Veritas Technologies LLC,Technology,6,257,0.69893557,0.8063333,3,veritas
"POSCO CO., LTD",Life Sciences,2,257,0.19251971,-1.054,15,posco
Avago Technologies Fiber IP (Singapore) Pte. Ltd.,Technology,6,257,0.49068832,-0.181,8,avago fiber ip singapore pte
SOLVAY (Société Anonyme),Life Sciences,2,256,0.26055524,-0.70361114,18,solvay soci t anonyme
Board of Trustees of the University of Arkansas,Life Sciences,0,256,0.40640727,0.009210525,19,board of trustees of university of arkansas
"SEOUL VIOSYS CO., LTD.",Technology,7,256,0.4992713,-0.18859999,5,seoul viosys
"Brookhaven Science Associates, LLC",Technology,7,256,0.38472927,-0.74626315,19,brookhaven science associates
"VeriSign, Inc.",Technology,7,256,0.7070608,0.92700005,18,verisign
Quest Diagnostics Investments Incoporated,Technology,6,256,0.40325782,-0.67233336,18,quest diagnostics investments incoporated
New Jersey Institute of Technology,Technology,7,256,0.51779014,-0.059500005,18,new jersey institute of
"SUMITOMO OSAKA CEMENT CO., LTD.",Technology,6,256,0.24377848,-1.4798948,19,sumitomo osaka cement
"Mindspeed Technologies, LLC.",Technology,7,255,0.5975352,0.357375,16,mindspeed
Landmark Graphics Corporation,Technology,6,255,0.59539676,0.34777775,18,landmark graphics
ADEKA CORPORATION,Life Sciences,2,255,0.17476827,-1.1895,12,adeka
"Avid Technology, Inc.",Technology,6,255,0.6295169,0.545,19,avid
Aesculap AG,Life Sciences,0,255,0.5665254,0.65217644,17,aesculap
SANDVIK AB,Life Sciences,2,255,0.22970708,-0.58842856,7,sandvik ab
Sloan-Kettering Institute for Cancer Research,Life Sciences,2,255,0.39611349,-0.09110526,19,sloan kettering institute for cancer research
Continental Automotive France,Technology,6,255,0.24647683,-1.4313636,11,continental automotive france
"Allison Transmission, Inc.",Industrial,5,254,0.54133725,0.74325,8,allison transmission
UNIVERSITY OF MARYLAND,Technology,6,254,0.45017317,-0.4103684,19,university of maryland
"Hughes Network Systems, LLC",Technology,7,254,0.6622672,0.6765,14,hughes network
Silicon Integrated Systems Corp.,Technology,7,254,0.44425294,-0.4256667,18,silicon integrated
Sanshin Kogyo Kabushiki Kaisha,Industrial,5,254,0.37669975,0.25375003,8,sanshin kogyo kabushiki kaisha
"FLIR Systems, Inc.",Technology,6,254,0.6159656,0.46577775,18,flir
EMEMORY TECHNOLOGY INC.,Technology,6,254,0.47067192,-0.30055556,18,ememory
BEIJING LENOVO SOFTWARE LTD.,Technology,6,254,0.31092578,-1.11775,8,beijing lenovo software
UNITY SEMICONDUCTOR,Technology,6,254,0.6694886,0.7122667,15,unity semiconductor
Huf Hülsbeck & Fürst GmbH & Co. KG,Industrial,4,253,0.30274656,-0.4113158,19,huf h lsbeck f rst kg
LTS LOHMANN THERAPIE-SYSTEME AG,Life Sciences,0,253,0.2573688,-0.73778945,19,lts lohmann therapie systeme
"Avalanche Technology, Inc.",Technology,6,253,0.66582036,0.6523334,9,avalanche
"MICROVISION, INC.",Technology,6,253,0.61595106,0.48157892,19,microvision
"Arlingon Industries, Inc.",Technology,7,253,0.48607334,-0.22615789,19,arlingon industries
MODINE MANUFACTURING COMPANY,Industrial,5,253,0.36753148,-0.051999997,19,modine manufacturing
UMICORE AG & CO. KG,Industrial,1,253,0.2876014,-0.5475,16,umicore kg
CLAAS Selbstfahrende Erntemaschinen GmbH,Life Sciences,0,252,0.31641075,-0.4213158,19,claas selbstfahrende erntemaschinen
Rehrig Pacific Company,Industrial,1,252,0.57165,1.2731053,19,rehrig pacific
"INTELLECTUAL DISCOVERY CO., LTD.",Technology,7,252,0.42887625,-0.5371429,7,intellectual discovery
Oregon Health & Science University,Life Sciences,2,252,0.37743065,-0.16936842,19,oregon health science university
Chicago Mercantile Exchange Inc.,Technology,6,252,0.6794816,0.75899994,13,chicago mercantile exchange
MAX-PLANCK-GESELLSCHAFT ZUR FÖRDERUND DER WISSENSCHAFTEN E.V.,Life Sciences,2,251,0.27107245,-0.6443684,19,max planck gesellschaft zur f rderund der wissenschaften e v
INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM VZW,Technology,7,251,0.507402,-0.087500006,12,interuniversitair micro electronica centrum vzw
GLORY LTD.,Technology,6,251,0.3471364,-0.9446875,16,glory
Wi-LAN Inc.,Technology,7,250,0.71827245,0.9830625,16,wi lan
ST. JUDE MEDICAL AB,Life Sciences,0,250,0.4417066,0.0959375,16,st jude medical ab
PEUGEOT CITROËN AUTOMOBILES SA,Industrial,5,250,0.2592289,-0.688125,16,peugeot citro n automobiles
BENTELER AUTOMOBILTECHNIK GMBH,Industrial,1,249,0.2520136,-0.76029414,17,benteler automobiltechnik
Honeywell Limited,Technology,6,249,0.5390228,0.07064286,14,honeywell
HUSQVARNA AB,Industrial,1,249,0.35332143,-0.21207692,13,husqvarna ab
"Impinj, Inc.",Technology,6,249,0.6901806,0.8304666,15,impinj
WABCO GmbH,Industrial,1,249,0.2843905,-0.555125,16,wabco
"Stratasys, Inc.",Industrial,1,249,0.5017396,0.7553158,19,stratasys
"ALNYLAM PHARMACEUTICALS, INC.",Life Sciences,2,248,0.5006753,0.17627273,11,alnylam pharmaceuticals
Rockstar Consortium US LP,Technology,7,248,0.6419817,0.51225,4,rockstar consortium us lp
"Extreme Networks, Inc.",Technology,7,248,0.69105405,0.85972226,18,extreme networks
DEUTSCHES ZENTRUM FÜR LUFT-UND RAUMFAHRT E.V.,Technology,6,248,0.30245364,-1.1674737,19,deutsches zentrum f r luft und raumfahrt e v
NIHON KOHDEN CORPORATION,Life Sciences,0,248,0.42182982,0.06410526,19,nihon kohden
"KYOWA HAKKO KOGYO CO., LTD.",Life Sciences,2,247,0.16258039,-1.0149091,11,kyowa hakko kogyo
"Cosco Management, Inc.",Industrial,1,247,0.5618266,1.3055625,16,cosco management
NEC INFRONTIA CORPORATION,Technology,7,247,0.34337178,-0.9569333,15,nec infrontia
"OMRON HEALTHCARE CO., LTD.",Life Sciences,0,246,0.44758072,0.038500004,14,omron healthcare
"MITSUBISHI PENCIL COMPANY, LIMITED",Industrial,1,246,0.20753227,-1.0242105,19,mitsubishi pencil
KDDI CORPORATION,Technology,7,246,0.3325086,-1.0163529,17,kddi
"King Slide Works Co., Ltd.",Life Sciences,0,246,0.47229362,0.20458823,17,king slide works
DENKI KAGAKU KOGYO KABUSHIKI KAISHA,Life Sciences,2,245,0.19855177,-0.92452943,17,denki kagaku kogyo kabushiki kaisha
"Toshiba Matsushita Display Technology Co., Ltd.",Technology,6,245,0.31480032,-1.095,8,toshiba matsushita display
MICRON ELECTRONICS LLC,Technology,6,245,0.62846756,0.568125,8,micron electronics
"Avon Products, Inc.",Life Sciences,0,245,0.36034766,-0.22378947,19,avon products
"Codexis, Inc.",Life Sciences,2,245,0.45674103,0.0646923,13,codexis
EXEDY CORPORATION,Industrial,5,245,0.26460978,-0.6163685,19,exedy
AVL LIST GMBH,Industrial,5,245,0.2458864,-0.7508947,19,avl list
Voith Sulzer Papiertechnik Patent GmbH,Industrial,3,245,0.23329899,-0.7416,10,voith sulzer papiertechnik patent
SMS DEMAG LLC,Industrial,1,245,0.15420082,-1.3212143,14,sms demag
Core Wireless Licensing S.A.R.L.,Technology,7,245,0.6282325,0.4537143,7,core wireless licensing s a r l
Intertrust Technologies Corporation,Technology,6,245,0.84167576,1.6477895,19,intertrust
"KEY SAFETY SYSTEMS, INC.",Industrial,1,245,0.4348229,0.3102,15,key safety
Voith Paper Patent GmbH,Industrial,3,245,0.24308695,-0.7243636,11,voith paper patent
"Siemens Information and Communication Networks, Inc.",Technology,7,244,0.56271386,0.23755556,9,siemens information communication networks
VEGA GRIESHABER KG,Technology,6,244,0.3193466,-1.0783684,19,vega grieshaber kg
"Silicon Image, Inc.",Technology,7,244,0.66302586,0.7264375,16,silicon image
SKYPE,Technology,7,244,0.64492226,0.5451111,9,skype
NOVA Chemicals (International) S.A.,Life Sciences,2,244,0.24858974,-0.761421,19,nova chemicals s a
"NEC DISPLAY SOLUTIONS, LTD.",Technology,6,243,0.3956472,-0.68600005,12,nec display solutions
"DePuy Mitek, LLC",Life Sciences,0,243,0.72886425,1.3011334,15,depuy mitek
Hutchinson Technology Incorporated,Technology,6,243,0.6483909,0.62089473,19,hutchinson incorporated
MCI Communications Corporation,Technology,7,243,0.74319667,1.1509334,15,mci communications
Altek Corporation,Technology,6,242,0.33536327,-0.9789231,13,altek
"MEMC Electronic Materials, Inc.",Life Sciences,2,242,0.49182686,0.5092,15,memc electronic materials
Verizon Services Corp.,Technology,7,242,0.668035,0.7422308,13,verizon services
"Dainippon Ink and Chemicals, Inc.",Life Sciences,2,242,0.16338468,-1.0653332,15,dainippon ink chemicals
"Space Systems/Loral, LLC",Technology,7,242,0.4354637,-0.49394444,18,space loral
"Electro-Motive Diesel, Inc.",Industrial,5,241,0.35862738,-0.14714286,14,electro motive diesel
Ixia,Technology,7,241,0.6434301,0.5834615,13,ixia
KOMORI CORPORATION,Industrial,1,241,0.25032985,-0.73557895,19,komori
Sony Semiconductor Solutions Corporation,Technology,7,241,0.48201588,-0.271,3,sony semiconductor solutions
"Knowles Electronics, LLC",Technology,7,241,0.6130088,0.43357894,19,knowles electronics
"VIXS SYSTEMS, INC.",Technology,7,241,0.65626925,0.64799994,14,vixs
Chevron Oronite Company LLC,Life Sciences,2,240,0.38623014,-0.15170588,17,chevron oronite
Covestro Deutschland AG,Life Sciences,2,239,0.24977209,-1.0325,4,covestro deutschland
Wirtgen GmbH,Industrial,4,239,0.33089823,-0.27594444,18,wirtgen
"Foxconn Technology Group Co., Ltd.",Industrial,5,239,0.28624672,-0.54866666,12,foxconn
"LifeScan, Inc.",Technology,6,238,0.54741365,0.068631575,19,lifescan
"Owens Corning Intellectual Capital, LLC",Industrial,4,238,0.52478135,0.7565834,12,owens corning intellectual capital
Bristol-Myers Squibb Pharma Company,Life Sciences,2,238,0.2857863,-0.4251,10,bristol myers squibb pharma
"YOSHINO KOGYOSHO CO., LTD.",Industrial,1,238,0.26724458,-0.6374211,19,yoshino kogyosho
Zeneca Limited,Life Sciences,2,238,0.17326567,-0.89285713,7,zeneca
ACUSON,Technology,6,238,0.6531701,0.7202857,7,acuson
Steelcase Inc.,Life Sciences,0,238,0.7982785,1.634077,13,steelcase
Z124,Technology,6,237,0.7883029,1.2384285,7,z124
Millipore Corporation,Industrial,1,237,0.31871203,-0.25966665,15,millipore
"KYOWA HAKKO KIRIN CO., LTD.",Life Sciences,2,237,0.3527894,-0.4797,10,kyowa hakko kirin
"Cybersonics, Inc.",Life Sciences,0,237,0.7763702,1.5663126,16,cybersonics
NEC TOKIN CORPORATION,Technology,7,237,0.34161043,-0.9683125,16,nec tokin
"Fitbit, Inc.",Life Sciences,0,237,0.84157115,1.504,7,fitbit
"The Regents of The University of Colorado, a body corporate",Life Sciences,0,237,0.52243745,0.43426666,15,regents of university of colorado a body corporate
"FCI CO., LTD.",Technology,7,237,0.39522868,-0.692875,16,fci
"Roche Diabetes Care, Inc.",Life Sciences,0,237,0.57488805,0.33375,4,roche diabetes care
MED-EL ELEK TROMEDIZINISCHE GERÄTE GMBH,Life Sciences,0,237,0.59227943,0.82688886,18,med el elek tromedizinische ger te
HERCULES LLC,Life Sciences,2,237,0.30843845,-0.43742105,19,hercules
"ROHR, INC.",Industrial,5,237,0.41664013,0.284,19,rohr
"HITACHI INDUSTRIAL EQUIPMENT SYSTEMS CO., LTD.",Technology,7,236,0.30036655,-1.158077,13,hitachi industrial equipment
Salk Institute for Biological Studies,Life Sciences,2,236,0.2922607,-0.5691579,19,salk institute for biological studies
Scania CV AB,Industrial,5,236,0.25532395,-0.7603571,14,scania cv ab
Sun Chemical Corporation,Life Sciences,2,236,0.30675992,-0.47936842,19,sun chemical
"K2M, Inc.",Life Sciences,0,235,0.7908236,1.4284545,11,k2m
AMDOCS SOFTWARE SYSTEMS LIMITED,Technology,6,235,0.5903777,0.31214285,14,amdocs software
Ovonyx Inc.,Technology,6,234,0.5736438,0.25280002,15,ovonyx
"VLSI Technology, Inc.",Technology,7,234,0.5729349,0.32066667,3,vlsi
Chi Mei Optoelectronics Corp.,Technology,6,234,0.3835375,-0.72875,12,chi mei optoelectronics
"Frito-Lay North America, Inc.",Life Sciences,0,234,0.4528617,0.079133324,15,frito lay north america
STMicroelectronics (Research & Development) Limited,Technology,6,234,0.41688564,-0.5812727,11,stmicroelectronics research development
SCHNEIDER ELECTRIC IT CORPORATION,Technology,7,234,0.66817576,0.6405,6,schneider electric it
"FRESENIUS MEDICAL CARE HOLDINGS, INC.",Life Sciences,0,234,0.69085985,0.95229995,10,fresenius medical care
Qisda Corporation,Technology,6,234,0.3044069,-1.1376363,11,qisda
Hella KGaA Hueck & Co.,Technology,6,234,0.2622675,-1.3830526,19,hella kgaa hueck
AGFA GRAPHICS NV,Industrial,1,234,0.26048383,-0.72674996,12,agfa graphics
KOREA INSTITUTE OF MACHINERY & MATERIALS,Industrial,1,234,0.21172471,-1.0026315,19,korea institute of machinery materials
Analogic Corporation,Technology,6,233,0.55432975,0.13910526,19,analogic
Given Imaging LTD.,Life Sciences,0,233,0.64013034,0.96135294,17,given imaging
Exelis Inc.,Technology,6,233,0.560734,0.111,6,exelis
Intel Deutschland GmbH,Technology,7,233,0.6226164,0.4225,4,intel deutschland
ANDRITZ INC.,Industrial,3,233,0.22272068,-0.92849994,18,andritz
"ISHIDA CO., LTD.",Industrial,1,233,0.29704252,-0.42389473,19,ishida
Kyocera Wireless Corp.,Technology,7,233,0.60525703,0.42988887,9,kyocera wireless
Imec vzw,Technology,7,233,0.44829148,-0.3933077,13,imec vzw
HER MAJESTY THE QUEEN IN RIGHT OF CANADA AS REPRESENTED BY THE MINISTER OF NATURAL RESOURCES,Life Sciences,2,232,0.33293748,-0.33078948,19,her majesty queen in right of canada as represented by minister of natural resources
"BJ SERVICES, LLC",Life Sciences,2,232,0.4982917,0.5372667,15,bj services
Osaka University,Life Sciences,2,232,0.2553897,-0.73505557,18,osaka university
ASTRIUM GMBH,Technology,6,232,0.28039095,-1.2908889,18,astrium
"Ando Electric Co., Ltd.",Technology,6,232,0.291306,-1.2921666,6,ando electric
"St. Jude Medical, Cardiology Division, Inc.",Life Sciences,0,232,0.8772884,1.792091,11,st jude medical cardiology division
Garmin Ltd.,Technology,6,232,0.61339206,0.485,11,garmin
UNIVERSITY OF WASHINGTON THROUGH ITS CENTER FOR COMMERCIALIZATION,Technology,6,231,0.5689349,0.17044444,9,university of washington through its center for commercialization
"Sensor Electronic Technology, Inc.",Technology,7,231,0.5473749,0.08533333,15,sensor electronic
BRIGHAM YOUNG UNIVERSITY,Technology,6,231,0.55214304,0.11294737,19,brigham young university
Bruker Biospin GmbH,Technology,6,231,0.3337731,-1.0065295,17,bruker biospin
AUBURN UNIVERSITY,Life Sciences,0,231,0.37174687,-0.18936843,19,auburn university
TECHNIP FRANCE,Industrial,5,231,0.28072065,-0.54729414,17,technip france
"Yazaki North America, Inc.",Technology,7,231,0.48031768,-0.24568422,19,yazaki north america
"University of Florida Foundation, Incorporated",Life Sciences,0,231,0.37999913,-0.047,14,university of florida foundation incorporated
AZBIL CORPORATION,Technology,6,231,0.27678436,-1.2911428,7,azbil
"KAYABA INDUSTRY Co., LTD.",Industrial,5,231,0.21602502,-0.90258825,17,kayaba industry
UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.,Technology,7,231,0.6240487,0.43475,8,unisantis electronics singapore pte
"MICRO MOTION, INC.",Technology,6,230,0.41504255,-0.58168423,19,micro motion
"Ultradent Products, Inc.",Life Sciences,0,230,0.64970404,1.1164211,19,ultradent products
SILTRONIC AG,Life Sciences,2,230,0.26794988,-0.72753334,15,siltronic
Infineon Technologies North America Corp.,Technology,7,229,0.5441189,0.12058333,12,infineon north america
VOLVO CONSTRUCTION EQUIPMENT AB,Industrial,4,229,0.31562144,-0.40957144,14,volvo construction equipment ab
"Lifetime Products, Inc.",Life Sciences,0,229,0.68839544,1.2877895,19,lifetime products
The BOC Group Limited,Industrial,1,229,0.3291806,-0.119,13,boc
Wintek Corporation,Technology,6,229,0.35851663,-0.8811875,16,wintek
Avanex Corporation,Technology,6,228,0.4685073,-0.28325,12,avanex
Zamtec Ltd,Industrial,1,228,0.60917073,1.1703333,3,zamtec
DANFOSS A/S,Industrial,5,228,0.27990073,-0.5716842,19,danfoss a s
MITEL NETWORKS CORPORATION,Technology,7,228,0.44431892,-0.45093334,15,mitel networks
"Wells Fargo Bank, N.A.",Technology,6,228,0.681889,0.7680769,13,wells fargo bank n a
CORIXA CORPORATION,Life Sciences,2,228,0.26010427,-0.68911767,17,corixa
"IMRA America, Inc.",Technology,7,228,0.6732583,0.74061114,18,imra america
"Panasonic Healthcare Holdings Co., Ltd.",Technology,6,228,0.35818887,-0.89042854,7,panasonic healthcare
TODA KOGYO CORP.,Life Sciences,2,228,0.19708046,-0.9655263,19,toda kogyo
"III Holdings 12, LLC",Technology,6,227,0.72688264,0.93780005,5,iii 12
KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY,Life Sciences,2,227,0.1334889,-1.2845789,19,korea research institute of bioscience biotechnology
"SAMSUNG ELECTRONICS SO., LTD",Technology,7,227,0.38541484,-0.7405264,19,samsung electronics so
"NISSIN KOGYO CO., LTD.",Industrial,1,227,0.2648051,-0.66057897,19,nissin kogyo
Conti Temic microelectronic GmbH,Technology,7,226,0.2969032,-1.203625,16,conti temic microelectronic
Cognis IP Management GmbH,Life Sciences,2,226,0.20238324,-1.0705,12,cognis ip management
STMICROELECTRONICS (GRENOBLE 2) SAS,Technology,7,226,0.3993192,-0.6753333,9,stmicroelectronics grenoble 2
DANIELI & C. OFFICINE MECCANICHE S.P.A.,Industrial,1,226,0.17553851,-1.1822631,19,danieli c officine meccaniche s p a
"Automotive Technologies International, Inc.",Industrial,1,226,0.7776663,2.6629374,16,automotive
Arizona Board of Regents on Behalf of the University of Arizona,Technology,6,226,0.43717223,-0.485,19,arizona board of regents on behalf of university of arizona
National Institute of Information and Communications Technology,Technology,7,226,0.38121843,-0.75479996,15,national institute of information communications
"GOJO Industries, Inc.",Life Sciences,0,226,0.40754384,-0.112500004,14,gojo industries
AMS AG,Technology,7,226,0.3481994,-0.938,7,ams
Magnecomp Corporation,Technology,6,226,0.5858385,0.28910527,19,magnecomp
Veeco Instruments Inc.,Technology,6,226,0.53477746,0.0388421,19,veeco instruments
TRW Occupant Restraint Systems GmbH & Co. KG,Industrial,1,226,0.280837,-0.41922224,9,trw occupant restraint kg
"IPR Licensing, Inc.",Technology,7,226,0.67402,0.73933333,15,ipr licensing
Lantiq Deutschland GmbH,Technology,7,225,0.55114263,0.08022223,9,lantiq deutschland
NAGRAVISION SARL,Technology,7,225,0.36953723,-0.8123077,13,nagravision sarl
AIRCELLE,Industrial,5,225,0.23601276,-0.87058336,12,aircelle
SHERWOOD SERVICES AG,Life Sciences,0,225,0.64285624,1.4437001,10,sherwood services
Owens-Brockway Glass Container Inc.,Life Sciences,2,225,0.37271744,-0.16257894,19,owens brockway glass container
ASM IP Holding B.V.,Technology,7,225,0.60319173,0.32233334,6,asm ip holding b v
Korea Electronics Technology Institute,Technology,7,225,0.33386672,-1.0013157,19,korea electronics institute
TRW AUTOMOTIVE U.S. LLC,Industrial,1,225,0.4289827,0.2959375,16,trw automotive u s
INVENTEC (PUDONG) TECHNOLOGY CORPORATION,Technology,6,225,0.25539508,-1.3983334,6,inventec pudong
Infineon Technologies Americas Corp.,Technology,7,224,0.53807664,0.00325,4,infineon americas
OSRAM Gesellschaft mit beschraenkter Haftung,Technology,7,224,0.37159303,-0.80385715,7,osram gesellschaft mit beschraenkter haftung
Verily Life Sciences LLC,Life Sciences,0,224,0.69526523,0.82433337,3,verily life sciences
"CHECKPOINT SYSTEMS, INC.",Technology,6,224,0.64127946,0.5926111,18,checkpoint
Trustees of Tufts College,Life Sciences,0,224,0.48010114,0.32368422,19,trustees of tufts college
AVISION INC.,Technology,7,224,0.29145646,-1.2252632,19,avision
O2MIcro International Limited,Technology,7,224,0.5437381,0.09707143,14,o2micro
"Nant Holdings IP, LLC",Technology,6,224,0.80616367,1.3291428,7,nant ip
ENI S.P.A.,Life Sciences,2,223,0.21786264,-0.91570586,17,eni s p a
"Pass & Seymour, Inc.",Technology,7,223,0.64176035,0.5693684,19,pass seymour
Cubic Corporation,Technology,6,223,0.540487,0.051421054,19,cubic
"HONGFUJIN PRECISION INDUSTRY (WUHAN) CO., LTD.",Technology,6,223,0.2676179,-1.332375,8,hongfujin precision industry wuhan
KYB CORPORATION,Industrial,5,223,0.22521193,-1.0335,4,kyb
Matsushita Electronics Corporation,Technology,7,222,0.47779304,-0.2546,5,matsushita electronics
Baylor College of Medicine,Life Sciences,2,222,0.3803667,-0.13694738,19,baylor college of medicine
"Nextel Communications, Inc.",Technology,7,222,0.58253604,0.27699998,11,nextel communications
"First Solar, Inc.",Technology,7,222,0.44732627,-0.4344706,17,first solar
POWERCHIP SEMICONDUCTOR CORP.,Technology,7,222,0.3859614,-0.72554547,11,powerchip semiconductor
Schott Glas,Life Sciences,2,222,0.21821031,-0.6924,10,schott glas
The Governors of the University of Alberta,Life Sciences,2,221,0.3087108,-0.45715788,19,governors of university of alberta
University of Kansas,Life Sciences,2,221,0.38884142,-0.09294444,18,university of kansas
"SINTOKOGIO, LTD.",Industrial,1,221,0.17525876,-1.219579,19,sintokogio
"Idemitsu Petrochemical Co., Ltd.",Life Sciences,2,221,0.15241164,-1.0124444,9,idemitsu petrochemical
"Biomet Sports Medicine, LLC",Life Sciences,0,221,0.84605885,1.6871667,12,biomet sports medicine
"Rohm and Haas Electronic Materials CMP Holdings, Inc.",Industrial,1,221,0.3458753,-0.19966666,15,rohm haas electronic materials cmp
HIWIN TECHNOLOGIES CORP.,Industrial,5,220,0.25881493,-0.70955557,18,hiwin
MeadWestvaco Corporation,Industrial,1,220,0.44071972,0.41866666,15,meadwestvaco
Wayne State University,Life Sciences,2,220,0.36727148,-0.16657895,19,wayne state university
GIVAUDAN SA,Life Sciences,2,220,0.2094256,-0.9308889,18,givaudan
Cook Regentec LLC,Life Sciences,0,220,0.68741876,1.4152,15,cook regentec
VERINT AMERICAS INC.,Technology,7,220,0.7327229,1.0073637,11,verint americas
BIEDERMANN TECHNOLOGIES GMBH & CO. KG,Life Sciences,0,220,0.7954234,1.3101428,7,biedermann kg
TiVo Corporation,Technology,7,219,0.7691407,1.247353,17,tivo
Campagnolo S.R.L.,Industrial,1,219,0.35543182,-0.13894737,19,campagnolo s r l
CJ CHEILJEDANG CORPORATION,Life Sciences,2,219,0.1693942,-1.2375455,11,cj cheiljedang
Federal-Mogul LLC,Industrial,5,219,0.4024028,0.07091666,12,federal mogul
Seco Tools AB,Industrial,1,219,0.2646452,-0.6408421,19,seco tools ab
